 ,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId,Age
42,Belene-1,43.62453,25.18675,Bulgaria,BG,Cancelled Construction,PWR,,01-01-1987,,,953,2021-02-14T00:57:00+02:00,WNA/IAEA,,0
43,Belene-2,43.62453,25.1865,Bulgaria,BG,Cancelled Construction,PWR,,31-03-1987,,,953,2021-02-14T00:57:00+02:00,WNA/IAEA,,0
334,Ignalina-3,55.604,26.562,Lithuania,LT,Cancelled Construction,LWGR,RBMK-1500,01-06-1985,,,1380,2021-02-14T01:18:00+02:00,WNA/IAEA,,0
796,Cernavoda-5,44.322,28.061,Romania,RO,Cancelled Construction,PHWR,,12-05-1987,,,655,2021-02-14T01:01:00+02:00,IAEA/Wikipedia,,0
271,Grosswelzheim,50.055,8.985,Germany,DE,Decommissioning Completed,BWR,Superheated steam reactor,01-01-1965,,,23,2022-12-30T02:21:21+02:00,WNA/IAEA,134,0
349,Kahl,50.059,8.987,Germany,DE,Decommissioning Completed,BWR,BWR,01-07-1958,,,15,2022-12-30T02:24:37+02:00,WNA/IAEA,82,0
472,Niederaichbach,48.604,12.304,Germany,DE,Decommissioning Completed,HWGCR,pressure tube reactor,01-06-1966,,,100,2022-12-30T02:21:21+02:00,WNA/IAEA,84,0
797,Zwentendorf,48.3544,15.8847,Austria,AT,Never Commissioned,BWR,,04-04-1972,,,692,2021-02-14T02:59:00+02:00,IAEA/Wikipedia,,0
798,SNR-300 (Kalkar),51.763056,6.326944,Germany,DE,Never Commissioned,FBR,SNR-300,23-04-1973,,,295,2021-02-14T02:59:00+02:00,IAEA/Wikipedia,,0
2,Akademik Lomonosov-1,69.709579,170.30625,Russia,RU,Operational,PWR,KLT-40S 'Floating',15-04-2007,22-05-2020,12-10-2023,30,31-05-2021,WNA/IAEA/Google Maps,895,3
3,Akademik Lomonosov-2,69.709579,170.30625,Russia,RU,Operational,PWR,KLT-40S 'Floating',15-04-2007,22-05-2020,12-10-2023,30,31-05-2021,WNA/IAEA/Google Maps,896,3
11,Almaraz-1,39.807,-5.698,Spain,ES,Operational,PWR,WH 3LP,03-07-1973,01-09-1983,12-10-2023,900,2017-02-10T23:56:15+02:00,WNA/IAEA,153,40
12,Almaraz-2,39.807,-5.698,Spain,ES,Operational,PWR,WH 3LP,03-07-1973,01-07-1984,12-10-2023,900,2019-06-02T20:17:55+03:00,WNA/IAEA,154,39
13,Angra-1,-23.008,-44.457,Brazil,BR,Operational,PWR,WH 2LP,01-05-1971,01-01-1985,12-10-2023,609,2021-02-14T03:47:53+02:00,WNA/IAEA,24,38
14,Angra-2,-23.008,-44.457,Brazil,BR,Operational,PWR,PRE KONVOI,01-01-1976,01-02-2001,12-10-2023,1245,2015-05-24T04:50:19+03:00,WNA/IAEA,25,22
17,Arkansas Nuclear One-1 (ANO-1),35.31,-93.23,United States,US,Operational,PWR,B&W LLP (DRYAMB),01-10-1968,19-12-1974,12-10-2023,850,2017-02-10T23:58:30+02:00,WNA/IAEA,652,48
18,Arkansas Nuclear One-2 (ANO-2),35.31,-93.229,United States,US,Operational,PWR,CE 2LP (DRYAMB),06-12-1968,26-03-1980,12-10-2023,912,2017-02-10T23:58:53+02:00,WNA/IAEA,689,43
20,Armenian-2,40.182,44.147,Armenia,AM,Operational,PWR,VVER V-270,01-07-1975,03-05-1980,12-10-2023,375,2021-06-29T00:12:17+03:00,WNA/IAEA,2,43
22,Asco-1,41.202,0.571,Spain,ES,Operational,PWR,WH 3LP,16-05-1974,10-12-1984,12-10-2023,888,2023-08-28T08:01:45+03:00,WNA/IAEA,155,38
